id;name;city_id
233615;Детский сад № 9 «Аленький цветочек»;27
83571;Школа № 10;27
30241;Школа № 11;27
251129;Гимназия № 11;27
30925;Школа № 12;27
208240;Школа № 13;27
53933;Школа № 14;27
71969;Школа № 15;27
251142;Школа № 17;27
251144;Школа № 18;27
46856;Школа № 19;27
251145;Школа № 20;27
144450;Школа № 21;27
40133;Начальная школа № 22;27
251135;Алтайский колледж промышленных технологий и бизнеса (бывш. ПЛ 22);27
74233;Начальная школа № 23;27
100759;Начальная школа № 24;27
251143;Школа № 25;27
84498;Школа № 26;27
1097;Начальная школа № 28;27
75278;Школа № 29;27
39979;Школа № 30;27
151805;Школа № 31;27
112181;Школа № 32;27
52343;Школа № 33;27
251146;Школа № 34;27
251138;Профессиональное училище № 34;27
331855;Школа № 35;27
86716;Школа № 36;27
51010;Школа № 37;27
69402;Школа № 38;27
593;Школа № 39;27
23893;Школа № 40;27
26079;Школа № 41;27
388001;Детский сад № 44 «Одуванчик»;27
1661592;Промышленно-технологический колледж (бывш. ПУ № 46 и ПУ № 4);27
439253;Профессиональное училище № 90;27
195522;Автошкола ДОСААФ;27
108655;Алтайский политехнический колледж (АПК);27
251248;Бийская бухгалтерская школа;27
71809;Бийский государственный колледж (БГК, бывш. БТМОД);27
251116;Бийский лицей;27
126601;Бийский техникум лесного хозяйства;27
186430;Городской дворец культуры;27
388010;Детский сад «Олимпиец»;27
1806576;Кадетская школа;27
960828;Колледж информационных технологий (КИТ БПГУ);27
251123;Колледж экономики и права;27
115235;Медицинский колледж;27
251119;Механико-технологический техникум (БМТТ);27
66686;Музыкальная школа Филиала АлтГМК (бывш. ДМШ при БГМУ);27
90733;Педагогический колледж;27
149944;Православная гимназия;27
125802;Реальная гимназия;27
129363;Техникум механизации сельского хозяйства (БТМСХ);27
1737745;Технолого-экономический колледж (БиТЭК);27
438321;Филиал Алтайского государственного музыкального колледжа в г. Бийске (бывш. БГМК);27
1855978;Филиал АлтГУ в г. Бийске (СПО);27
54197;Художественная школа;27
142640;Школа искусств «Современник»;27
294315;Школа-интернат для слабовидящих детей;27
424223;Школа № 1 (бывш. шк. им. Горького);1122529
414550;Школа № 2 (бывш. шк. им. Белинского);1122529
268733;Гимназия № 3;1122529
145060;Школа № 4;1122529
687548;Алтайский промышленно-экономический колледж (филиал);1122529
687543;Барнаульский строительный колледж (филиал);1122529
687559;Вечерняя (сменная) школа;1122529
389291;Горняцкая восьмилетняя школа;1122529
687565;Детский сад «Звездочка»;1122529
687564;Детский сад «Ромашка»;1122529
687566;Детский сад «Сказка»;1122529
687567;Детский сад «Чайка»;1122529
1334413;Детско-юношеская спортивная школа;1122529
687578;Дом детского творчества;1122529
1807002;Локтевский лицей;1122529
526712;Музыкальная школа;1122529
687575;Школа искусств;1122529
52545;Школа № 1;324
55254;Школа № 2;324
496194;Музыкальная школа № 2;324
26102;Школа № 3;324
35260;Школа № 4;324
853;Школа № 5;324
90982;Школа № 6;324
32726;Школа № 7;324
12470;Школа № 8;324
102189;Начальная школа № 9;324
60086;Начальная школа № 10;324
26100;Школа № 15;324
423065;Профессиональное училище № 41;324
709351;Алтайский промышленно-экономический колледж (ЗФ АГПЭК);324
1806633;Заринская коррекционная школа-интернат;324
1860558;Заринский политехнический техникум;324
510219;Лицей «Бригантина»;324
133820;Художественная школа;324
1806632;Центр детского творчества;324
64535;Школа № 1;14454
72678;Школа № 2;14454
58583;Школа № 3;14454
73110;Школа № 5;14454
715836;Профессиональное училище № 63 (бывш. ПТУ № 16);14454
1806767;Детская школа искусств;14454
1772008;Змеиногорская школа с углублённым изучением отдельных предметов;14454
715837;Медицинское училище;14454
451031;Музыкальная школа;14454
451638;Художественная школа;14454
715840;Центр детского творчества;14454
715839;Школа-интернат;14454
268438;Школа № 1;3238
268493;Музыкальная школа № 1;3238
14868;Школа № 2;3238
1834974;Лицей № 2;3238
546127;Музыкальная школа № 2;3238
30150;Школа № 3;3238
377593;Музыкальная школа № 3;3238
376968;Школа № 4;3238
532785;Лицей № 4;3238
22281;Гимназия № 5;3238
544007;Школа № 7;3238
23377;Школа № 8;3238
528353;Школа № 9;3238
725324;Профессиональное училище № 25;3238
725322;Профессиональное училище № 66;3238
725323;Профессиональное училище № 85;3238
42244;Школа № 239;3238
1860676;Алтайский институт развития медицинского образования (Каменский филиал);3238
64374;Детско-юношеская спортивная школа;3238
161500;Каменский агротехнический техникум (КАТ);3238
725330;Каменский медицинский колледж (бывш. Медицинское училище, КМУ);3238
505242;Каменский педагогический колледж (КПК);3238
314313;Художественная школа;3238
1806832;Школа искусств (КДШИ);3238
56433;Школа № 1;2367
258915;Школа искусств №1;2367
510598;Школа-интернат №2;2367
178638;Школа искусств №2;2367
56321;Школа № 3;2367
117778;Школа № 4;2367
243285;Школа № 5;2367
1593526;Открытая (сменная) школа № 6;2367
178073;Школа № 7;2367
50900;Школа № 8;2367
1855387;Лицей № 8;2367
53810;Школа № 9;2367
902748;Школа № 10;2367
77536;Школа № 12;2367
176863;Школа № 14;2367
546648;Школа № 15;2367
33836;Школа № 17;2367
35583;Школа № 19;2367
902752;Школа № 30;2367
284806;Профессиональное училище № 44;2367
60838;Школа № 166;2367
1859596;Гимназия № 166;2367
902763;Алтайский филиал Новосибирского техникума железнодорожного транспорта (АФ НТЖТ);2367
902824;Базовое медицинское училище;2367
902819;Детско-юношеская спортивная школа;2367
400729;Спортивная школа «Старт»;2367
223035;Художественное училище (НГХУ);2367
407269;Школа № 1;424
1854411;Школа-интернат № 1;424
34972;Вечерняя (сменная) школа № 1;424
50573;Музыкальная школа № 1;424
372198;Детско-юношеская спортивная школа № 1;424
1860111;Алтайская школа № 2 (филиал);424
279502;Кадетская школа № 2;424
1854853;Рубцовская школа-интернат № 2;424
248527;Музыкальная школа № 2;424
45334;Детско-юношеская спортивная школа № 2;424
1305;Гимназия № 3;424
96162;Музыкальная школа № 3;424
73014;Школа № 4;424
8936;Школа № 5;424
279499;Лицей № 6 (бывш. шк. 6);424
4126;Лицей № 7 (бывш. шк. 7);424
279523;Гимназия № 8;424
74532;Школа № 9;424
279519;Профессиональное училище № 9;424
96157;Школа № 10 ККЮС;424
17722;Гимназия № 11 (бывш. шк. 11);424
50300;Школа № 13;424
74689;Школа № 14;424
48451;Школа № 15;424
45331;Школа № 16;424
87873;Школа № 17;424
279517;Профессиональное училище № 17;424
133001;Школа № 18;424
112351;Школа № 19;424
408280;Школа № 20;424
52559;Школа № 22;424
73738;Школа № 23;424
279500;Школа № 24;424
247721;Школа № 26 им. А. С. Пушкина;424
162146;Школа № 46;424
279521;Профессиональный лицей № 47;424
279518;Профессиональное училище № 49;424
1855989;Среднее профессионально-техническое училище №  83;424
181286;Школа № 112;424
279507;Алтайский государственный музыкальный колледж (АГМК, бывш. РМУ);424
234585;Гимназия «Планета детства»;424
279514;Колледж права (РКП);424
1461;Лицей;424
55038;Лицей «Эрудит»;424
319432;Медицинский колледж (РМК);424
191772;Музыкальная школа при АГМК (бывш. РМУ);424
279511;Педагогический колледж (РПК);424
201186;Рубцовский аграрно-промышленный техникум (РАПТ, бывш. РМТ);424
368180;Рубцовский институт (филиал) АлтГУ (Колледж АлтГУ);424
186067;Сельскохозяйственный техникум (РСХТ);424
358275;Средняя школа им. Кирова;424
101992;Техническая физико-математическая школа (ТФМШ);424
81736;Художественная школа;424
134583;Центр изучения языков «Лингва»;424
265167;Центр профессиональной подготовки «Знание»;424
420668;Школа «Юность»;424
72202;Школа № 1;18180
452691;Школа № 2;18180
92162;Школа № 4;18180
12873;Школа № 10;18180
65161;Школа № 13;18180
64364;Школа № 15;18180
196292;Лицей № 17;18180
134515;Школа № 18;18180
262677;Школа № 20;18180
101954;Школа № 21;18180
113539;Школа № 122;18180
1854368;Автомобильная школа ДОСААФ России;18180
902846;Аграрный техникум (САТ);18180
136803;Алтайский техникум информатики и вычислительной техники (АТИВТ, АФ МЭСИ);18180
219263;Детско-юношеская спортивная школа;18180
443296;Колледж экономики и права (СКЭП);18180
102064;Музыкальная школа;18180
127035;Образовательный центр;18180
902850;Педагогический колледж (СПК);18180
443297;Сельскохозяйственный техникум (ССХТ);18180
1854121;Славгородская школа-интернат;18180
127006;Центр детско-юношеского творчества;18180
295301;Школа искусств;18180
50158;Школа № 12;1101
56915;Школа № 14;1101
46946;Школа № 16;1101
43598;Школа № 19;1101
483367;Детский сад № 22;1101
329657;Профессиональное училище № 30;1101
429854;Детский сад № 32 «Солнышко»;1101
455899;Профессиональный лицей № 39;1101
228968;Детско-юношеская спортивная школа;1101
110582;Школа искусств;1101
1807391;Яровской политехнический техникум;1101
12811;Школа № 1;1220
359397;Гимназия № 1 (Гимназия искусств);1220
103465;Музыкальная школа № 1;1220
90732;Школа № 2;1220
222470;Музыкальная школа № 2;1220
45375;Школа № 3;1220
512256;Школа № 4;1220
50148;Школа № 5;1220
58250;Школа № 9;1220
20343;Школа № 10;1220
110696;Школа-интернат № 10;1220
16115;Школа № 11;1220
286040;Коммунально-строительный лицей (бывш. ПУ № 13);1220
47368;Школа № 17;1220
71634;Школа № 200;1220
144395;Школа № 201;1220
1849241;Амурский колледж сервиса и торговли;1220
253534;Детско-юношеская спортивная школа;1220
131184;Музыкальная школа при Доме офицеров;1220
120947;Технологический техникум пищевой промышленности (БТТПП);1220
239615;Центр развития образования;1220
1807503;Школа искусств;1220
183800;Школа № 1;30
8491;Гимназия № 1;30
181822;Школа-интернат № 1;30
418094;Вечерняя школа № 1;30
215828;Музыкальная школа № 1;30
426732;Детско-юношеская спортивная школа № 1;30
121799;Амурский педагогический колледж (бывш. Педагогический колледж № 1);30
235998;Профессиональное училище № 1;30
12976;Школа № 2;30
164552;Музыкальная школа (ДМШ № 2);30
430049;Детско-юношеская спортивная школа олимпийского резерва № 2;30
106360;Педагогический колледж № 2;30
190415;Школа № 3;30
1807505;Детско-юношеская спортивная школа № 3;30
417439;Педагогический колледж № 3;30
14100;Школа № 4;30
265312;Школа-интернат № 4;30
29747;Школа № 5;30
239945;Детско-юношеская спортивная школа олимпийского резерва № 5;30
1807506;Детско-юношеская спортивная школа № 5;30
29314;Лицей № 6 (бывш. шк. 6);30
286018;Профессиональное училище № 6;30
280809;Школа № 7;30
1807507;Детско-юношеская спортивная школа № 7;30
81022;Школа-интернат № 8;30
28364;Школа № 9;30
952;Школа № 10;30
181552;Лицей № 11 (бывш. шк. 11);30
28113;Школа № 12;30
23094;Школа № 13;30
156822;Школа № 14;30
