id;name
1885;Ядрин
828;Анадырь
1069;Билибино
1467;Певек
1320;Алдан
1517;Верхоянск
2147;Вилюйск
3437;Ленск
321;Нерюнгри
5160;Нюрба
345;Олекминск
18143;Среднеколымск
227;Томмот
1601;Удачный
168;Якутск
1678;Губкинский
7075;Лабытнанги
15769;Муравленко
283;Надым
403;Ноябрьск
715;Салехард
1183;Тарко-Сале
6547;Данилов
9928;Любим
1117662;Мышкин
9279;Пошехонье
121;Рыбинск
1611;Тутаев
744;Углич
169;Ярославль
1;Москва
2;Санкт-Петербург
